Date,Close,High,Low,Open,Volume
2/13/2020,169.0969849,170.3338931,168.5383847,170.0146965,9153131
2/14/2020,165.7453613,169.894978,165.0271629,169.3762805,13731692
2/17/2020,163.4311676,166.5034747,162.7927622,165.9847771,15561953
2/18/2020,162.6730499,163.2715527,159.9997328,163.23165,20934864
2/19/2020,164.9473572,165.3064564,162.673054,163.7902543,9054560
2/20/2020,165.5458679,166.4236769,163.9498605,165.1867687,15592846
2/24/2020,161.9947205,165.5458338,161.0371186,165.1867347,16594046
2/25/2020,161.0371246,163.9099302,160.7977211,162.6331318,15313516
2/26/2020,158.483551,161.1568563,156.6481399,160.119449,17869240
2/27/2020,157.6456146,158.9224131,156.3289014,158.3239104,17271066
2/28/2020,157.6456146,159.5209158,153.2565948,155.610703,32628444
3/2/2020,155.8501129,162.3538377,154.5333996,159.2017258,18560049
3/3/2020,154.6930084,157.5658142,153.6556013,157.206715,17947416
3/4/2020,149.6257172,156.0496504,148.867616,155.5708432,27664076
3/5/2020,150.0645905,152.5782971,148.867585,149.6655886,20025924
3/6/2020,145.0371857,147.5110022,143.4411781,147.5110022,26764504
3/9/2020,141.4062347,142.8426436,139.2516275,142.8426436,21794299
3/11/2020,140.169342,141.047151,137.5359396,138.8526408,27956087
3/12/2020,124.3289795,134.9823216,120.13946,134.8626259,52039692
3/13/2020,129.4760895,130.8725958,107.4112939,119.700545,61590681
3/16/2020,117.5060349,126.1643791,115.9100276,126.0845739,33254907
3/17/2020,119.0222549,124.3289872,116.5484506,118.1045555,47657482
3/18/2020,120.2591476,123.4112596,117.5858427,121.3763601,50243331
3/19/2020,129.1568909,130.5134946,115.5110241,120.2591432,89748454
3/20/2020,140.0496521,140.8476558,131.7504183,131.7504183,61996400
3/23/2020,123.1319656,129.2765913,119.0621422,126.0845767,51353150
3/24/2020,119.4611588,130.6332112,117.6257477,130.0347084,52552796
3/25/2020,117.5858231,121.2965345,110.9224888,120.498531,62505978
3/26/2020,124.8077621,127.201773,114.3140193,119.7005438,58443451
3/27/2020,130.2342072,132.46862,123.690579,129.2766051,32636484
3/30/2020,127.0421982,131.5908173,124.5284912,124.5284912,28120340
3/31/2020,137.0172272,138.7329424,128.9174948,130.8726014,42630666
4/1/2020,132.7878418,137.8551713,131.3115419,137.0172648,18141970
4/3/2020,141.9648438,145.8351663,133.2666089,133.9848073,62867436
4/7/2020,144.8775635,148.1892737,138.5733274,148.1892737,36118591
4/8/2020,142.5633698,146.8326948,140.9673622,144.3189878,37561082
4/9/2020,147.8301849,148.6281886,143.6406655,146.8326803,42626960
4/13/2020,144.9174652,148.9473738,144.4785608,147.2316709,17744169
4/15/2020,151.102005,154.6132164,145.7952731,146.872583,49092699
4/16/2020,148.7079926,152.5783031,147.9897819,151.341395,27080032
4/17/2020,150.1044922,152.7378945,149.1867807,151.9797935,26667421
4/20/2020,144.1992493,151.5807826,143.2416474,151.5807826,35764287
4/21/2020,143.3214417,147.0720559,140.4885266,142.0446311,23333661
4/22/2020,145.4361572,146.4735643,140.4486347,142.8426455,25163402
4/23/2020,144.0795746,146.832685,143.3613639,145.9947786,32968029
4/24/2020,143.6805573,145.8750673,143.0820545,144.4386583,18049697
4/27/2020,143.5209503,145.4760567,143.0820459,143.8401469,13085703
4/28/2020,143.201767,144.2790769,142.0845666,143.6406715,17802635
4/29/2020,145.3563538,145.9548565,143.3613447,144.0396527,21461067
4/30/2020,145.2765961,147.5508996,143.9997851,147.5508996,30164713
5/4/2020,138.8925476,145.0371737,136.1793277,145.0371737,30294317
5/5/2020,138.7728271,141.6057425,137.2566251,139.650636,17707577
5/6/2020,130.7928162,136.7778446,128.0796081,136.7778446,65586734
5/7/2020,128.4785919,132.3489146,128.0795901,130.8726029,24249585
5/8/2020,126.2840805,130.9922973,125.3663812,130.832699,25307015
5/11/2020,126.4436798,130.4736008,126.0845806,127.6805879,18095473
5/12/2020,131.710495,132.3887907,125.6855655,126.4436664,21387527
5/13/2020,131.9898071,138.5334472,131.2716087,138.3738367,20015124
5/14/2020,130.7129974,134.2641112,129.2366858,131.2715975,14949993
5/15/2020,131.3912964,132.0696044,128.5982836,129.4361899,14950243
5/18/2020,131.4711151,133.5060271,130.1943043,132.4686198,20801299
5/19/2020,136.2591095,136.9773078,131.7503942,132.8675943,20142171
5/20/2020,140.2491302,141.2466347,136.4586132,137.2167142,25320734
5/21/2020,150.7827911,151.9797966,137.7753289,140.1294494,58382197
5/22/2020,148.7079926,153.1369033,147.3114861,150.0246938,39013770
5/26/2020,152.9773254,155.5708378,149.8651155,151.6207214,53233404
5/27/2020,153.3363953,154.7329016,149.1468761,153.6157014,24546119
5/28/2020,152.139389,153.9348972,150.8226879,153.4561023,24578072
5/29/2020,157.4860229,158.0047204,150.8226877,151.9797905,35834621
6/1/2020,160.0396423,163.7902572,158.8027342,160.3987416,28508405
