Date,Close,High,Low,Open,Volume
2/12/2020,1199.013306,1202.757246,1194.261458,1195.36534,3148965
2/13/2020,1191.717407,1209.477011,1184.229528,1209.477011,4556070
2/14/2020,1170.549805,1198.437228,1166.373921,1193.445269,7344429
2/17/2020,1168.437988,1183.653626,1165.845976,1175.973797,5076345
2/18/2020,1164.694092,1169.73398,1155.3343,1168.198037,5264558
2/19/2020,1178.085693,1180.77368,1165.318048,1173.573841,5006134
2/20/2020,1168.390015,1180.773763,1165.510079,1180.773763,5561707
2/24/2020,1161.526001,1166.133945,1151.974261,1160.566022,8284042
2/25/2020,1152.262451,1160.614219,1150.054453,1155.814325,6943340
2/26/2020,1151.254395,1156.486231,1138.198708,1149.574432,6907393
2/27/2020,1151.446289,1154.374271,1133.734731,1147.174431,10327549
2/28/2020,1130.518799,1137.574618,1123.270914,1128.454821,12156528
3/2/2020,1132.390747,1153.078333,1119.479082,1152.166283,7332449
3/3/2020,1134.502808,1137.910661,1121.255055,1127.974906,11184775
3/4/2020,1102.87146,1132.774819,1087.751796,1131.19083,17144435
3/5/2020,1105.27124,1118.37497,1097.015448,1106.855228,9774854
3/6/2020,1089.479614,1095.239485,1056.93632,1079.975804,11526783
3/9/2020,1062.984375,1073.640114,1022.377232,1065.57627,17210295
3/11/2020,1069.224121,1075.175941,1048.296543,1060.776263,17769120
3/12/2020,980.4261475,1036.776904,963.2905526,1031.977011,29500385
3/13/2020,1026.985107,1038.168764,882.4123015,940.8269733,33171182
3/16/2020,959.4986572,995.4978565,955.1787533,993.5778992,15993161
3/17/2020,936.0751343,969.5784117,916.4916055,967.6584545,21338419
3/18/2020,841.8052368,953.2587261,830.3814683,945.5788975,30590703
3/19/2020,859.7088013,883.1323019,763.1829673,813.1018532,33610024
3/20/2020,847.5170898,877.9964106,791.5503488,839.9812812,44318732
3/23/2020,740.6714478,805.1820188,734.3835999,762.7989419,25138477
3/24/2020,736.9755859,777.5826692,709.1841936,763.4229848,30528636
3/25/2020,822.461731,832.7335145,725.0238953,739.6155829,23614021
3/26/2020,865.0366211,900.1718701,807.3419355,835.277287,28521578
3/27/2020,868.2526245,949.0828314,837.1972828,907.1317564,27617968
3/30/2020,798.366272,851.5010671,794.8623264,844.7812165,19634222
3/31/2020,827.4055786,838.6372814,804.4620666,819.6297168,17605546
4/1/2020,796.4462891,829.2775111,787.1824719,829.2775111,14551752
4/3/2020,781.2785645,810.2219428,777.5826703,809.2619642,17498140
4/7/2020,860.2367554,870.9885269,811.5178439,839.0212528,30206319
4/8/2020,853.3250732,907.1798538,831.4375124,844.7332523,28109676
4/9/2020,888.0281372,893.6440468,854.3809011,876.4604075,22228573
4/13/2020,859.5167236,908.8116546,850.7329555,896.619916,17079028
4/15/2020,828.7495117,893.2600852,809.2619579,893.2600852,28989376
4/16/2020,844.5411377,855.0529146,821.9816415,830.3814539,26927198
4/17/2020,873.8685303,883.1803347,851.7410347,878.3804415,27941731
4/20/2020,907.0357056,922.4913953,897.5799403,912.9395971,33116493
4/21/2020,884.7642822,896.6199943,871.6605512,887.980187,16589003
4/22/2020,891.4360962,895.6600254,870.9885639,882.3643454,19144677
4/23/2020,916.7315674,920.1394797,876.0284517,897.5799828,20450611
4/24/2020,900.5078735,920.0434723,888.9401436,895.6599935,16642284
4/27/2020,892.4921265,919.0835457,889.2281758,907.3238077,13710536
4/28/2020,894.1240845,906.0277839,885.1002623,906.0277839,14720718
4/29/2020,937.9950562,952.9707573,896.7159768,897.579981,27938889
4/30/2020,961.7064819,978.2181244,952.3946785,961.3225257,21896567
5/4/2020,886.0602417,921.5794497,880.7803594,919.1795032,13361162
5/5/2020,874.9725342,906.2198269,871.7085834,900.4599551,14836429
5/6/2020,908.5237427,911.9796421,869.4046159,882.2203064,16892923
5/7/2020,887.9801636,905.5477594,884.4762184,902.8598312,10915865
5/8/2020,891.868103,906.1718075,888.1722089,904.2998376,10403742
5/11/2020,879.1483765,915.8195701,877.4204267,899.4999342,14275392
5/12/2020,865.468689,873.0045561,836.2373291,864.9407125,24784209
5/13/2020,890.5241089,921.579391,885.1961812,912.9395842,22173483
5/14/2020,857.9329224,874.5405411,854.3809897,862.0608188,19777445
5/15/2020,852.6049805,856.6848893,839.981239,854.8609066,12174814
5/18/2020,803.1660767,852.4609517,798.0301563,852.4609517,23324982
5/19/2020,797.406189,832.5893669,793.0382398,826.3974937,23730346
5/20/2020,822.7976685,829.4215445,798.8942355,802.9741447,20007153
5/21/2020,825.1496582,848.6211485,818.1898128,826.9736411,24239454
5/22/2020,805.2779541,835.4692901,799.7100904,815.981738,21023716
5/26/2020,818.2857666,836.8613287,814.7818213,822.7016446,19002576
5/27/2020,867.4846191,873.3884519,822.8456176,825.4855586,28012877
5/28/2020,907.4197388,911.979637,877.3724214,883.18028,37744403
5/29/2020,913.5635986,916.7795033,886.4921922,906.2197394,26512583
6/1/2020,948.1228027,955.1786214,927.4352189,935.9790511,19595115
6/2/2020,960.9385376,964.7784518,936.1711025,947.2108559,20811797
6/3/2020,981.3381348,1004.377621,974.8102919,979.1781829,25273044
6/4/2020,961.6105347,997.3696774,951.4347268,986.9060049,27137941
6/5/2020,991.9937744,1000.681627,962.6664425,962.9544244,17597992
6/8/2020,975.2423096,1023.961225,966.1225126,1017.577344,24906332
6/9/2020,947.7868042,985.6579695,940.3469705,979.1781143,30922073
6/10/2020,952.1547852,959.8346142,939.051112,950.3788481,18248865
6/11/2020,929.8352051,948.8428273,926.3793057,945.5788768,15448857
6/12/2020,943.4189453,947.1628852,890.8601183,890.8601183,21322438
6/15/2020,911.8356323,935.0191385,905.2598025,929.259267,16004968
6/16/2020,950.7628174,954.1707297,913.8996162,935.9791237,22699985
6/17/2020,940.059021,958.9226235,934.2991495,949.4188121,18478919
6/18/2020,979.130127,983.8820325,933.0991441,940.7789724,20435063
6/19/2020,991.9937744,1001.257591,971.6422768,977.2101404,23938876
6/22/2020,987.5780029,1004.089588,982.8260971,997.8497273,14847237
6/23/2020,1000.585632,1003.177527,975.8661275,997.4176564,14415256
6/24/2020,991.1778564,1015.17732,988.8259559,1006.537513,19714623
6/25/2020,987.5780029,1007.01757,966.698468,981.0021728,35323395
6/26/2020,1014.169434,1020.457341,986.8580869,999.3378098,19984569
6/29/2020,1032.984985,1039.272775,995.4977754,995.4977754,23002978
6/30/2020,1023.193115,1035.384913,1014.02539,1031.016964,17873065
7/1/2020,1041.192749,1052.136528,1018.825318,1023.193151,17423359
7/2/2020,1045.800659,1066.776167,1041.768679,1046.664663,18477248
7/3/2020,1030.968994,1051.944621,1027.177125,1049.256634,13798627
7/6/2020,1058.856445,1075.080108,1055.976509,1063.608293,17779108
7/7/2020,1060.92041,1067.2082,1049.304692,1065.000319,12174925
7/8/2020,1065.912231,1079.879967,1060.776369,1062.696327,15028175
7/9/2020,1079.927856,1084.487755,1062.936282,1073.256052,10057242
7/10/2020,1060.872192,1075.175895,1055.544382,1073.159964,8781489
7/13/2020,1037.016846,1068.456144,1028.425084,1065.480234,14961057
7/14/2020,1016.473328,1026.12116,1007.97754,1020.073247,13306337
7/15/2020,1011.001404,1035.816825,1008.073422,1027.368967,10487197
7/16/2020,1020.02533,1022.85722,992.7138675,1011.481496,11831228
7/17/2020,1054.488281,1059.816209,1015.94524,1016.665224,14202869
7/20/2020,1087.703857,1106.75941,1079.160024,1089.575769,32562048
7/21/2020,1092.983765,1111.607257,1088.615815,1105.943477,23756211
7/22/2020,1081.271851,1098.695485,1072.824109,1092.935614,12359006
7/23/2020,1085.15979,1098.119501,1071.57607,1079.975882,10074561
7/24/2020,1074.312012,1077.959977,1057.176417,1077.959977,9799220
7/27/2020,1036.296875,1058.856372,1032.31294,1055.832416,18985047
7/28/2020,1043.160767,1050.600601,1017.097324,1035.816907,17798225
7/29/2020,1021.993164,1044.936675,1013.305428,1037.736836,16796043
7/30/2020,1008.601624,1040.28092,1004.809637,1031.017102,13478133
7/31/2020,991.4659424,1015.369316,979.2261567,1015.369316,18863348
8/3/2020,961.8985596,985.8499788,953.2587521,984.8900002,15891771
8/4/2020,999.9616089,1018.585215,962.8584171,967.6583095,30153084
8/5/2020,986.4259644,1013.545357,979.1780797,1006.009432,16610680
8/6/2020,999.0496826,1012.777423,985.1780387,995.4978087,16823444
8/7/2020,1002.073608,1005.289513,979.7541066,993.4338013,12418392
8/10/2020,1008.601624,1021.417315,1002.025793,1002.217742,11086427
8/11/2020,1023.961304,1028.137188,1006.537667,1006.537667,10068074
8/12/2020,1021.12915,1023.337148,1006.057534,1022.377169,10333216
8/13/2020,1016.665344,1028.47301,1014.217352,1025.20906,9946370
8/14/2020,993.0498657,1023.241265,986.1861121,1023.241265,10462256
8/17/2020,991.4179077,1005.097603,979.3701879,1005.097603,9780506
8/18/2020,1014.217346,1019.161259,981.098086,986.8579573,12020412
8/19/2020,1023.913147,1026.985149,1013.977392,1022.377205,8857812
8/20/2020,1016.617432,1026.169173,1009.897581,1012.729471,9608367
8/21/2020,1042.200684,1045.224639,1021.993089,1022.761119,14462151
8/24/2020,1072.344238,1078.008019,1042.200884,1042.536853,18389870
8/25/2020,1074.887939,1081.89583,1061.928229,1074.216001,13800869
8/26/2020,1073.687866,1086.455627,1065.096106,1076.135858,12595031
8/27/2020,1067.592163,1084.679829,1061.976312,1080.74394,10322998
8/28/2020,1069.89624,1079.976016,1051.176656,1067.448248,19348305
8/31/2020,1071.192017,1102.823379,1056.648318,1084.295747,19250583
9/1/2020,1082.18396,1097.831541,1063.656325,1082.855898,14438942
9/2/2020,1088.759766,1093.415638,1075.847983,1079.111934,9880841
9/3/2020,1085.639893,1100.087501,1082.855931,1091.735734,9916681
9/4/2020,1074.50415,1080.359997,1060.200445,1065.576302,11830685
9/7/2020,1066.056274,1074.696082,1055.01652,1071.624197,8807733
9/8/2020,1067.928101,1074.024058,1058.85635,1069.416114,7312459
