Date,Close,High,Low,Open,Volume
6/5/2020,1864.803345,1910.097604,1857.565412,1904.270894,3573289
6/8/2020,1886.198608,1907.366277,1877.412977,1892.116451,2957841
6/9/2020,1886.47168,1907.82139,1875.728475,1878.32331,2909439
6/10/2020,1919.884399,1941.052064,1887.791489,1891.023585,5168397
6/11/2020,1882.465576,1916.470498,1877.139651,1911.918311,2269513
6/12/2020,1856.836914,1865.668112,1830.88945,1831.071493,2842642
6/15/2020,1848.096802,1874.590506,1821.739574,1856.472781,2399022
6/16/2020,1862.572632,1888.201352,1849.098116,1880.052983,2146528
6/17/2020,1864.393677,1874.454054,1845.046883,1862.754845,2703527
6/18/2020,1855.562256,1874.772461,1843.817592,1861.844296,1944389
6/19/2020,1861.480103,1902.813979,1850.008615,1859.112988,5681758
6/22/2020,1846.321411,1868.445084,1838.309629,1866.396599,3196138
6/23/2020,1853.013184,1860.933944,1829.979074,1845.456509,4205944
6/24/2020,1859.295044,1879.370231,1849.644431,1851.829502,2560937
6/25/2020,1835.532715,1875.500937,1829.296241,1852.740003,3043931
6/26/2020,1929.080322,1941.052485,1839.037932,1843.635686,6300722
6/29/2020,1913.420532,1937.046559,1903.997639,1919.201898,3076341
6/30/2020,1895.66687,1922.752379,1889.202899,1911.918264,3071725
7/1/2020,1904.680054,1924.618538,1893.254023,1893.436066,2503466
7/2/2020,1963.949463,1971.096484,1910.097193,1913.738942,3758699
7/3/2020,2002.643677,2007.514606,1966.77253,1969.867928,4185208
7/6/2020,2060.501709,2066.601595,2007.514301,2007.514301,5190366
7/7/2020,2066.601074,2096.463455,2032.232074,2071.244392,5630055
7/8/2020,2020.169434,2070.698709,2009.881669,2066.692873,2793358
7/9/2020,2006.922852,2043.476826,1994.813989,2029.365045,3443998
7/10/2020,2023.309937,2048.346956,1981.111089,2007.741374,9610320
7/13/2020,2021.170898,2043.886266,2012.066525,2021.170898,2963503
7/14/2020,1977.424438,2038.46931,1971.096943,2012.066626,2976738
7/15/2020,2033.82605,2057.588555,1985.755132,1989.305749,5569321
7/16/2020,2039.163818,2128.81494,2025.796081,2047.604255,8582118
7/17/2020,2008.139404,2047.512808,1998.375917,2041.216789,4509135
7/20/2020,2014.663208,2032.000317,1999.059944,2008.367189,2952646
7/21/2020,2030.313232,2042.722824,2008.504831,2034.829963,2665286
7/22/2020,1999.19751,2035.742369,1993.038271,2035.742369,2861534
7/23/2020,1981.175781,1999.197254,1973.693493,1999.197254,2265766
7/24/2020,1968.58313,1973.693104,1939.110221,1965.937029,3665100
7/27/2020,2013.659912,2021.1422,1974.149503,1975.518222,4248480
7/28/2020,2107.600098,2116.953015,2021.142642,2021.142642,8092319
7/29/2020,2076.849854,2137.027856,2049.475457,2091.403863,6090431
7/30/2020,2079.996826,2151.62646,2073.38135,2085.836605,7098496
7/31/2020,2081.730957,2130.457503,2059.877114,2101.577389,4723290
8/3/2020,2056.865967,2102.216385,2035.468363,2089.989023,4012337
8/4/2020,2052.805176,2071.009098,2030.312644,2062.158091,2927928
8/5/2020,2061.748779,2098.704223,2055.817659,2062.205019,3800641
8/6/2020,2106.093994,2116.496171,2067.085496,2075.890834,4748047
8/7/2020,2094.460693,2124.253071,2086.841398,2106.003474,3165491
8/10/2020,2083.008301,2121.514892,2076.849064,2115.127535,2929353
8/11/2020,2080.362549,2109.653239,2076.439064,2083.191325,2774423
8/12/2020,2059.786133,2095.418287,2049.931308,2088.073003,3415751
